scenario,eml_params,mlp_params,depth,hidden,epochs,eml_final_val_loss,mlp_final_val_loss,eml_final_val_acc,mlp_final_val_acc,val_loss_gap_mlp_minus_eml
annulus_disk,13161,6609,3,56,600,0.02166038006544113,0.09911945462226868,0.9944444298744202,0.9972222447395325,0.07745907455682755
annulus_disk,37921,19009,3,96,600,0.024598505347967148,0.021763479337096214,0.9944444298744202,0.9972222447395325,-0.0028350260108709335
annulus_disk,104161,52161,3,160,600,0.033185772597789764,0.008491571061313152,0.9944444298744202,0.9972222447395325,-0.024694201536476612
annulus_disk,25929,12993,5,56,600,0.04053435102105141,0.007666510529816151,0.9916666746139526,0.9972222447395325,-0.032867840491235256
annulus_disk,75169,37633,5,96,600,8.95344352722168,0.004899612627923489,0.5249999761581421,0.9972222447395325,-8.948543914593756
annulus_disk,207201,103681,5,160,600,0.03338856250047684,0.005276245530694723,0.9888888597488403,0.9972222447395325,-0.028112316969782114
annulus_disk,38697,19377,7,56,600,0.06067732349038124,0.6931471228599548,0.9888888597488403,0.5,0.6324697993695736
annulus_disk,112417,56257,7,96,600,1.9325448274612427,0.6931471228599548,0.6361111402511597,0.5,-1.2393977046012878
annulus_disk,310241,155201,7,160,600,27.284894943237305,0.6931471228599548,0.5,0.5,-26.59174782037735
blobs_overlap,13161,6609,3,56,600,0.5477677583694458,0.49050840735435486,0.762499988079071,0.753125011920929,-0.05725935101509094
blobs_overlap,37921,19009,3,96,600,0.5508779287338257,0.4884733557701111,0.7562500238418579,0.7593749761581421,-0.0624045729637146
blobs_overlap,104161,52161,3,160,600,0.6652902960777283,0.48991695046424866,0.7562500238418579,0.7593749761581421,-0.17537334561347961
blobs_overlap,25929,12993,5,56,600,0.6846286058425903,0.4903244376182556,0.581250011920929,0.765625,-0.19430416822433472
blobs_overlap,75169,37633,5,96,600,0.5173733830451965,0.48734021186828613,0.7562500238418579,0.765625,-0.0300331711769104
blobs_overlap,207201,103681,5,160,600,17.526262283325195,0.49432674050331116,0.4937500059604645,0.778124988079071,-17.031935542821884
blobs_overlap,38697,19377,7,56,600,0.6931418776512146,0.6931472420692444,0.5,0.5,5.364418029785156e-06
blobs_overlap,112417,56257,7,96,600,1.9942176342010498,0.6931472420692444,0.5,0.5,-1.3010703921318054
blobs_overlap,310241,155201,7,160,600,52.49347686767578,0.4931047856807709,0.49687498807907104,0.7718750238418579,-52.00037208199501
checkerboard,13161,6609,3,56,600,0.588075578212738,0.6409904956817627,0.7975000143051147,0.5699999928474426,0.05291491746902466
checkerboard,37921,19009,3,96,600,0.5348294377326965,0.5648270845413208,0.7925000190734863,0.7275000214576721,0.029997646808624268
checkerboard,104161,52161,3,160,600,0.8234599232673645,0.37012341618537903,0.7475000023841858,0.8299999833106995,-0.4533365070819855
checkerboard,25929,12993,5,56,600,0.6899707913398743,0.5325000286102295,0.6100000143051147,0.7300000190734863,-0.15747076272964478
checkerboard,75169,37633,5,96,600,0.6918405294418335,0.5037777423858643,0.5299999713897705,0.7450000047683716,-0.18806278705596924
